# XDI/1.0 Demeter/0.9.26
# Demeter.output_filetype: multicolumn normalized mu(E)
# Element.symbol: O
# Element.edge: K
# Column.1: energy eV
# Column.2: 69_ZnO__ref__angle=0_deg__O-edge__Mon_SR_Io.dat
# Column.3: 70_ZnO__ref__angle=45_deg__O-edge__Mon_SR_Io.dat
# Column.4: 71_ZnO__ref__angle=75_deg__O-edge__Mon_SR_Io.dat
#------------------------
#  energy  69_ZnO__ref__angle=0_deg__O-edge__Mon_SR_Io.dat  70_ZnO__ref__angle=45_deg__O-edge__Mon_SR_Io.dat  71_ZnO__ref__angle=75_deg__O-edge__Mon_SR_Io.dat
  548.00020       0.67065332       0.78079319       0.88249839
  548.09970       0.67963011       0.78318688       0.88012175
  548.20010       0.69059422       0.78862870       0.87947716
  548.30070       0.70232627       0.79065509       0.87981105
  548.40030       0.71401685       0.79773573       0.87987392
  548.50070       0.72937574       0.81040689       0.88253802
  548.60040       0.74238612       0.82065856       0.88706558
  548.70080       0.76102362       0.83261473       0.89378745
  548.79950       0.77842229       0.84688412       0.90323704
  548.90000       0.79955407       0.86587337       0.91495137
  549.00060       0.81980159       0.88277624       0.92923500
  549.10030       0.84283096       0.90571737       0.94558837
  549.19990       0.86401496       0.92377028       0.96247440
  549.30050       0.88621477       0.94460211       0.97921401
  549.40010       0.90569618       0.96383996       0.99525588
  549.50080       0.92361002       0.97648476        1.0099206
  549.60050       0.94156234       0.99075451        1.0220314
  549.70010       0.95520571        1.0025786        1.0322204
  549.79980       0.96796285        1.0137297        1.0440906
  549.90060       0.97721990        1.0246393        1.0516060
  550.00040       0.98584852        1.0330931        1.0610772
  550.24970        1.0012746        1.0530504        1.0813170
  550.50010        1.0164116        1.0792584        1.1058508
  550.74980        1.0362784        1.1100189        1.1387401
  551.00020        1.0627110        1.1428218        1.1754757
  551.24990        1.0928282        1.1768301        1.2048395
  551.50070        1.1265965        1.2082586        1.2309885
  551.74970        1.1628143        1.2339899        1.2491772
  552.00050        1.2023403        1.2566718        1.2570743
  552.24950        1.2404499        1.2686429        1.2560164
  552.49960        1.2753406        1.2779438        1.2462896
  552.74980        1.3038714        1.2798058        1.2290801
  552.99990        1.3248165        1.2747219        1.2074570
  553.25020        1.3454964        1.2714935        1.1861082
  553.50060        1.3628414        1.2648672        1.1618111
  553.75010        1.3783386        1.2611094        1.1416557
  554.00060        1.4008637        1.2631168        1.1256922
  554.25020        1.4303664        1.2726010        1.1183709
  554.50000        1.4650454        1.2864736        1.1165074
  554.74990        1.4991611        1.3031373        1.1228955
  554.99970        1.5254371        1.3219293        1.1323462
  555.24970        1.5422288        1.3417390        1.1473074
  555.50060        1.5462082        1.3539977        1.1645617
  555.75060        1.5378821        1.3589816        1.1821097
  556.00080        1.5211509        1.3646735        1.2038189
  556.25010        1.4982300        1.3708817        1.2267779
  556.50040        1.4696963        1.3715874        1.2531888
  556.75080        1.4368378        1.3721862        1.2827825
  557.00030        1.4013223        1.3710218        1.3114208
  557.24990        1.3631983        1.3711728        1.3390107
  557.50060        1.3226540        1.3694418        1.3626862
  557.75030        1.2840098        1.3634566        1.3830627
  558.00090        1.2467853        1.3525777        1.3965409
  558.24990        1.2109877        1.3391425        1.4012787
  558.49980        1.1763979        1.3188346        1.3943506
  558.75070        1.1443823        1.2905962        1.3785509
  558.99990        1.1142461        1.2616784        1.3540210
  559.25000        1.0881986        1.2317224        1.3213260
  559.50030        1.0677687        1.1990018        1.2889523
  559.75050        1.0495160        1.1671251        1.2498412
  560.00000        1.0359610        1.1391638        1.2146784
  560.25030        1.0264714        1.1168939        1.1820532
  560.49990        1.0212396        1.0994864        1.1522092
  560.74960        1.0194422        1.0818966        1.1282338
  561.00030        1.0130580        1.0652579        1.1052620
  561.25100        1.0097828        1.0514051        1.0858042
  561.49980        1.0036222        1.0377910        1.0674646
  561.75080       0.99898356        1.0247275        1.0503477
  561.99960       0.99014575        1.0093199        1.0328447
  562.24980       0.98050921       0.99585493        1.0166028
  562.49990       0.96914493       0.98090014       0.99977036
  562.75010       0.95902122       0.96751067       0.98611130
  563.00050       0.95081111       0.95632383       0.97291812
  563.25070       0.94283304       0.94661098       0.96189653
  563.50030       0.93579585       0.93985682       0.95672454
  563.75060       0.92977981       0.93790349       0.95324782
  564.00030       0.92577056       0.93358030       0.95228064
  564.25090       0.92272942       0.93382797       0.95463064
  564.49980       0.92365218       0.94336628       0.95998614
  564.75040       0.92477748       0.94929162       0.96862240
  565.00050       0.92639908       0.95483521       0.97817356
  565.25040       0.93004303       0.96000501       0.98918649
  565.50040       0.93158822       0.96606253       0.99895751
  565.74950       0.93527444       0.97619206        1.0076891
  565.99960       0.93703957       0.98392464        1.0173597
  566.24990       0.94121881       0.98945236        1.0268057
  566.50030       0.94748996       0.99633978        1.0346169
  566.75060       0.95164546       0.99846146        1.0407370
  567.00100       0.95784852        1.0049365        1.0464364
  567.25060       0.96508658        1.0123967        1.0482695
  567.50020       0.97151373        1.0157061        1.0480416
  567.75090       0.97906078        1.0151629        1.0459964
  568.00060       0.98809062        1.0165829        1.0410281
  568.25050       0.99562462        1.0158702        1.0346423
  568.50050        1.0023380        1.0197943        1.0299490
  568.75040        1.0086666        1.0190377        1.0231982
  569.00050        1.0143545        1.0184241        1.0185354
  569.24960        1.0184592        1.0157116        1.0132715
  569.50080        1.0212194        1.0155120        1.0093310
  569.74990        1.0244542        1.0140502        1.0070633
  570.00040        1.0266654        1.0174366        1.0054869
  570.99940        1.0312903        1.0203141        1.0073607
  571.99970        1.0311873        1.0214826        1.0164797
  573.00020        1.0306974        1.0324500        1.0294572
  574.00070        1.0252656        1.0299062        1.0376966
  575.00030        1.0183191        1.0229030        1.0371772
  576.00020       0.99170053       0.99612869        1.0025168
  577.00000       0.97649682       0.97107893       0.97523143
  578.00000       0.96876279       0.95754239       0.94757556
  579.00000       0.97996230       0.96251107       0.95327008
  580.00050       0.99746588       0.97941879       0.96577304
  580.99980        1.0139522       0.99418133       0.98271175
  582.00040        1.0238656        1.0152131        1.0039125
  583.00090        1.0332396        1.0356495        1.0389997
  583.99950        1.0438471        1.0632423        1.0811562
  585.00030        1.0525653        1.0896007        1.1128103
  586.00010        1.0558420        1.0965862        1.1267131
  587.00000        1.0549960        1.0938108        1.1202830
  588.00100        1.0410644        1.0707367        1.0949356
  589.00000        1.0223092        1.0417880        1.0587137
  590.00030       0.99139908        1.0073919        1.0196137
  591.00040       0.96484980       0.97309657       0.98564644
  592.00060       0.93665050       0.94950577       0.96313162
  593.00090       0.92090233       0.93338829       0.95226096
  594.00030       0.91387985       0.92743355       0.94724848
  594.99950       0.91632620       0.92480327       0.93951972
  595.99990       0.91590118       0.92158694       0.93109603
  597.00040       0.92009568       0.91683328       0.92466483
  598.00000       0.92075587       0.91856066       0.92233937
  599.00050       0.92690469       0.92014262       0.92465785
  599.99980       0.93240298       0.92587414       0.93081420
  600.99950       0.94071198       0.93595690       0.94120405
  602.00000       0.95050309       0.94582668       0.94631480
  602.99950       0.95743612       0.94987297       0.95105572
  604.00000       0.95654811       0.95108021       0.95297069
  605.00070       0.95362407       0.95069555       0.95241303
  606.00020       0.95394123       0.94846351       0.95035596
  606.99990       0.95454692       0.95123909       0.95465488
  608.00040       0.95755652       0.95478776       0.95782786
  608.99990       0.96383692       0.96235430       0.96443151
  609.99930       0.96845484       0.96699729       0.97053101
  610.99990       0.97570722       0.97548106       0.97722964
  612.00040       0.97935662       0.97869015       0.98200202
  612.99970       0.98506241       0.98868415       0.98863795
  614.00120       0.99013162       0.99120078       0.99476371
  614.99940       0.99794080       0.99823507       0.99874414
  616.00080        1.0059950        1.0071885        1.0054022
  616.99990        1.0124338        1.0081202        1.0089186
  618.00010        1.0232037        1.0164100        1.0109346
  619.00050        1.0311304        1.0227216        1.0131813
  619.99930        1.0388375        1.0268631        1.0159442
  621.00050        1.0447471        1.0320127        1.0180616
  621.99930        1.0487385        1.0327986        1.0191075
  623.00040        1.0496326        1.0362252        1.0198796
  623.99990        1.0486233        1.0304606        1.0186493
  625.00090        1.0437190        1.0276126        1.0136568
  625.99930        1.0360102        1.0226409        1.0090892
  627.00100        1.0252545        1.0143649        1.0029831
  628.00050        1.0149337        1.0075994        1.0009505
  628.99970        1.0059774       0.99980392        1.0003213
  629.99990       0.99746199       0.99719877       0.99558709
  631.00020       0.99160638       0.99086603       0.99277622
  631.99910       0.98885354       0.98558414       0.98669008
  633.00040       0.98686236       0.98241705       0.98182367
  634.00000       0.98751737       0.97826464       0.97507349
  635.00090       0.98790603       0.97795737       0.96949703
  636.00050       0.98666300       0.97599537       0.96472191
  637.00000       0.98552469       0.96945451       0.96011419
  637.99920       0.98284167       0.96990089       0.95427795
  639.00060       0.98073410       0.96232025       0.94779701
  639.99970       0.97617458       0.95851839       0.94363606
  640.99960       0.97519821       0.95458507       0.93925487
  642.00050       0.97232249       0.95128323       0.93480102
  643.00000       0.97081895       0.94611657       0.93099933
  643.99970       0.96904159       0.94680572       0.92880464
  645.00000       0.96898146       0.94524662       0.92836362
  646.00060       0.96623623       0.94366163       0.92752515
  647.00060       0.96830426       0.94442995       0.92563984
  648.00050       0.96787587       0.94648104       0.92604751
  649.00030       0.97136684       0.94844343       0.92866657
  649.99960       0.97622805       0.95236114       0.92975706
