#  energy  83_YbZnO__5e14__angle=0_deg__O-edge__Mon_SR_Io.dat  84_YbZnO__5e14__angle=45_deg__O-edge__Mon_SR_Io.dat  85_YbZnO__5e14__angle=75_deg__O-edge__Mon_SR_Io.dat
  559.75050        1.0379182        1.1347877        1.2111091
  560.00000        1.0273406        1.1123893        1.1804247
  560.25030        1.0222718        1.0943620        1.1557668
  560.49990        1.0158726        1.0788797        1.1312450
  560.74960        1.0120324        1.0681765        1.1106884
  561.00030        1.0092367        1.0553755        1.0926245
  561.25100        1.0084339        1.0470310        1.0771069
  561.49980        1.0040057        1.0363845        1.0603229
  561.75080       0.99587924        1.0219590        1.0460142
  561.99960       0.98684564        1.0093583        1.0304019
  562.24980       0.97932097       0.99660650        1.0162347
  562.49990       0.97110497       0.98262722        1.0014580
  562.75010       0.96233060       0.97239911       0.98784704
  563.00050       0.95533990       0.96296356       0.97506157
  563.25070       0.94870266       0.95535052       0.96595881
  563.50030       0.93956443       0.94541623       0.95931195
  563.75060       0.93380114       0.93801017       0.95583924
  564.00030       0.92915283       0.93958552       0.95442504
  564.25090       0.92827292       0.94173547       0.95500770
  564.49980       0.92958170       0.94557942       0.95929443
  564.75040       0.92963303       0.94564482       0.96597803
  565.00050       0.92988933       0.94778150       0.97268065
  565.25040       0.93249869       0.95352269       0.98240724
  565.50040       0.93412433       0.96158529       0.98779387
  565.74950       0.93591730       0.96543351       0.99690967
  565.99960       0.93699979       0.97092107        1.0020049
  566.24990       0.93935000       0.97237607        1.0093101
  566.50030       0.94102268       0.97567944        1.0156462
  566.75060       0.94620586       0.98335021        1.0194355
  567.00100       0.95071088       0.99058020        1.0239175
  567.25060       0.95565135       0.99335421        1.0238989
  567.50020       0.96320338       0.99616690        1.0226607
  567.75090       0.96918745       0.99651610        1.0198962
  568.00060       0.97368056       0.99784707        1.0167890
  568.25050       0.98057532        1.0005765        1.0132174
  568.50050       0.98607744       0.99987569        1.0088654
  568.75040       0.98995528       0.99456294        1.0025121
  569.00050       0.99466172       0.99324828       0.99857014
  569.24960       0.99753713       0.99353589       0.99288907
  569.50080        1.0013238       0.99454110       0.98974863
  569.74990        1.0020320       0.99284408       0.98820905
  570.00040        1.0030533       0.99499095       0.98576475
  570.99940        1.0073089       0.99729229       0.98607345
  571.99970        1.0050999       0.99843498       0.99136002
  573.00020        1.0053720        1.0048283        1.0003007
  574.00070       0.99917484        1.0020283        1.0067222
  575.00030       0.99489943        1.0022707        1.0079080
  576.00020       0.98266556       0.98413801       0.98439342
  577.00000       0.97412578       0.97152356       0.96424421
  578.00000       0.98178474       0.97233562       0.95309714
  579.00000       0.98179855       0.97223072       0.95257195
  580.00050       0.99197144       0.97270863       0.95853477
  580.99980       0.99906031       0.98421040       0.97080896
  582.00040        1.0082861       0.99606107       0.98731481
  583.00090        1.0149803        1.0131235        1.0163966
  583.99950        1.0238032        1.0381020        1.0491553
  585.00030        1.0361952        1.0609406        1.0762206
  586.00010        1.0428869        1.0715825        1.0877818
  587.00000        1.0373753        1.0644997        1.0815654
  588.00100        1.0240148        1.0439451        1.0593251
  589.00000        1.0026669        1.0149537        1.0295284
  590.00030       0.97810407       0.98572341       0.99814136
  591.00040       0.95396493       0.95969914       0.97015564
  592.00060       0.93204560       0.93990842       0.95191461
  593.00090       0.92336310       0.92941094       0.94272772
  594.00030       0.91495873       0.92264376       0.93869385
  594.99950       0.91837391       0.92613415       0.93383818
  595.99990       0.92006425       0.91826144       0.92781783
  597.00040       0.92297197       0.92655284       0.92398780
  598.00000       0.92506273       0.91976055       0.92362558
  599.00050       0.92919241       0.92713059       0.92428770
  599.99980       0.93655604       0.93168424       0.93073898
  600.99950       0.94429150       0.94196787       0.93852144
  602.00000       0.95223532       0.94463594       0.94535519
  602.99950       0.95903915       0.95215928       0.94977355
  604.00000       0.95860257       0.95213493       0.95082268
  605.00070       0.95657843       0.95426666       0.95297811
  606.00020       0.95716665       0.95070304       0.95211074
  606.99990       0.95795122       0.95721913       0.95430441
  608.00040       0.96238551       0.95891197       0.95639039
  608.99990       0.96859282       0.96715276       0.96318996
  609.99930       0.97308385       0.97055045       0.96904781
  610.99990       0.97705788       0.97821645       0.97656299
  612.00040       0.98242837       0.97998603       0.98264223
  612.99970       0.98691072       0.98890394       0.98864512
  614.00120       0.99339925       0.99307592       0.99277954
  614.99940       0.99958674        1.0000537        1.0000317
  616.00080        1.0064886        1.0012281        1.0050948
  616.99990        1.0128243        1.0122718        1.0084365
  618.00010        1.0215764        1.0126962        1.0100459
  619.00050        1.0296150        1.0229540        1.0117624
  619.99930        1.0366982        1.0248202        1.0160239
  621.00050        1.0436048        1.0300038        1.0178692
  621.99930        1.0438445        1.0324837        1.0201018
  623.00040        1.0477288        1.0338548        1.0208234
  623.99990        1.0463979        1.0332312        1.0197084
  625.00090        1.0437996        1.0286741        1.0175140
  625.99930        1.0374060        1.0243298        1.0138141
  627.00100        1.0282184        1.0181298        1.0120765
  628.00050        1.0190955        1.0147976        1.0107099
  628.99970        1.0131103        1.0106072        1.0103262
  629.99990        1.0078437        1.0072979        1.0069017
  631.00020        1.0045273        1.0057759        1.0031393
  631.99910        1.0019845       0.99885479       0.99999357
  633.00040        1.0015932       0.99636878       0.99578887
  634.00000        1.0010298       0.99993914       0.99343027
  635.00090        1.0054008       0.99430561       0.98973944
  636.00050        1.0025416       0.99561492       0.98625645
  637.00000        1.0022786       0.99146225       0.98119453
  637.99920       0.99975600       0.98955667       0.97847448
  639.00060       0.99646770       0.98367869       0.97406983
  639.99970       0.99571246       0.98368874       0.97124540
  640.99960       0.99366964       0.97848349       0.96666786
  642.00050       0.99166698       0.97728125       0.96431202
  643.00000       0.99152461       0.97531736       0.96242172
  643.99970       0.98946780       0.97480052       0.96060424
  645.00000       0.99025184       0.97317496       0.96099878
  646.00060       0.98971101       0.97173307       0.96059005
  647.00060       0.99154648       0.97494810       0.95995045
  648.00050       0.99373590       0.97294163       0.96047156
  649.00030       0.99568182       0.97776309       0.96199110
  649.99960       0.99961413       0.98188033       0.96456849
